source_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag
2051297275588053120,290.12228112634443,37.84561041050221,0.2565110545212864,0.12470793396489425,-0.7710326430222263,0.19231677689916452,-10.006429771071554,0.23029838362395672,17.77834,,
2051294453803409536,290.15334671989984,37.84699901877842,1.6932552066617719,1.2519992817321761,-2.3126822494640633,1.7010303481615876,-0.2547155489512604,2.192189501855189,20.713049,21.354427,19.816849
2051293148123224192,290.19900052354006,37.7684458615828,0.17487555655629472,0.09940229316611858,-0.2552736657986838,0.1599393330536828,-2.3048884724779173,0.18158488146894095,17.626425,18.056826,16.991514
2051293392937771136,290.2152473921443,37.82599708013678,-0.5107577407453532,0.3034357694671765,-0.1780677613949576,0.4738942634752894,-1.4748487411632745,0.8007729869114549,19.413536,19.586933,18.612206
2051292980625574016,290.220718411297,37.77311706066629,0.11157215476836149,0.09587174079617776,-0.8938339041077478,0.16785940476470704,-2.276242331549778,0.2051339581711301,17.616693,18.020868,16.929968
2051297546169982592,290.1140585303574,37.86287293907675,0.18392499321630346,0.05073045118079407,-0.4748025983525804,0.08201033290052889,-2.480331694534175,0.08650172985983849,16.500559,17.149172,15.7286415
2051294247634958208,290.1518912337838,37.81976705270698,0.5029246944896837,0.18232883034871672,-0.2708919229575368,0.2992622367997596,-1.9453293205386841,0.34457550004885523,18.75444,19.26219,18.017756
2051287822363687168,290.08814367122073,37.751265277800506,1.2577295364145349,0.278896288236183,7.252634484775205,0.4341622520727976,4.596564650204623,0.4204413515421952,19.028261,20.148718,17.884102
2051287891093175808,290.08537654181697,37.763110486504615,0.2519703607582594,0.4111551433442309,-1.4055295751271533,0.5912860497815058,-1.326818010032604,0.6843381959616225,19.735994,20.23821,18.85314
2051287242542668672,290.16942490058375,37.73661640106297,-1.084291046119725,0.4487650983355799,-0.13474851057847143,0.6474187235137167,-2.416292926724208,0.7550656336583061,19.701488,20.119757,18.889814
2051288303400166784,290.1084754253509,37.7982382595057,-0.10574057900106895,0.21075696205926606,-1.7098629209399123,0.33591069102864196,-3.3843143144343664,0.3593355925762621,18.789906,19.091133,18.233372
2051293182482962432,290.20303575453227,37.7778038171163,0.18930722085652074,0.14311028205451595,-0.5147397761276488,0.2542440592291081,-2.5335677134879067,0.2906743864494811,18.074173,18.511797,17.3849
2051288376415765504,290.13640936214586,37.80775515651136,-0.2379088878946869,1.030195870995183,-0.6116123750854519,1.529705941479697,-0.5318209070493074,1.585469680739151,20.678053,20.946228,19.738735
2051297344307529984,290.12174254172197,37.845671429508876,,,,,,,19.865717,,
2051294251931047296,290.1467060019159,37.80763944209277,-0.26968091767015895,0.5097484274755563,-1.9287600785142192,0.7847099253037537,-6.52413545072281,0.8997245133183345,19.995031,,
2051287169539770112,290.136584059216,37.73835498867746,,,,,,,21.046507,,
2051294556872693376,290.22377927932746,37.84351923778535,0.07997818357698308,0.4066753224925498,-0.5380594154407103,0.6752677961803132,-2.4473449552318054,0.9408430874770947,19.928217,20.243305,19.050869
2051290884676459008,290.04532777684966,37.77416771361019,,,,,,,21.105667,,
2051293530375009664,290.2530064230192,37.81010784434797,2.987080734431127,0.6249317666138676,10.766434584071382,1.1928411368291678,-11.112987137043753,1.4432085506609047,20.323353,20.756136,18.963705
2051293835318145792,290.259045850285,37.82991337625089,1.2030758572129756,0.24121194323751818,-3.748670485178294,0.3956366980599798,-12.93890905065226,0.5606978453487874,19.159712,20.449854,17.944523
2051297309947843200,290.14486786107153,37.84865973481446,-1.2747362172476144,0.9989692540549927,-7.243113117271866,1.442928669153511,-14.618749197999165,1.9726339889022952,20.6121,21.429932,19.311464
2051294797390943872,290.1896659424753,37.87049235836197,0.19699866838507046,0.10034827485341626,-0.7540172642113891,0.16720906686231063,-2.151351891532948,0.2065249959615566,17.688805,18.144434,17.068846
2051294939126078976,290.21392030726685,37.87543555395952,-0.0431188381157208,1.4217382229594446,-3.5694702668958618,1.7333099592973007,-3.570055388720991,2.1997405334998454,20.716005,21.26333,19.555075
2051297722264808320,290.1439438947439,37.90234983788556,0.31671000584034154,0.5222606848069794,-0.2074283351293964,0.898022589354442,-9.671838791424925,1.1298516930399074,20.07992,20.826475,18.80146
2051291327067011584,290.0851682123773,37.80725198690886,0.7751153991017027,0.6406648274107415,-4.427812943426007,0.9274437762704784,-6.5496737238761895,1.0711273984783778,20.3131,21.199059,19.111208
2051286757211693312,290.1123424259949,37.712558126856166,0.274811597746629,0.8582085846412074,-2.0387216022421635,1.2147247468377111,-4.159236136864424,1.3168704021758948,20.453907,20.527998,19.863268
2051287311262150784,290.1536448953479,37.75803557391713,-0.41734750921473024,0.627446225990495,1.7291080946648,0.9613449768920401,-3.211225446422433,1.1195374431600702,20.093996,20.614166,19.216003
2051293289863231232,290.21542804022016,37.802049199695695,0.652654401841216,0.27524052049915454,-0.18231232306815837,0.455125717960699,2.4253698781572006,0.5940194976383891,16.71578,16.849083,15.803377
2051287375686958848,290.0782672989669,37.70280175711808,-0.26671991563170167,0.4921130173385682,-0.5437988410854453,0.8140584600759536,-1.3802753168983175,0.8910747522071886,19.829884,20.466047,18.846172
2051295385802791296,290.29164674502385,37.87076513736994,,,,,,,21.122286,,
2051286757222900608,290.12079863869377,37.71266113470126,-0.7646266226142285,0.5510050236528702,0.18662270613636145,0.86804230177075,-2.8632732257616613,0.9451123181685814,19.96339,20.223013,18.98944
2051291331358354816,290.08886754898515,37.81503359765441,0.28893642684752646,0.07942240863181219,-0.4745934223501345,0.12741384424498867,-2.7054370209784735,0.13842453380957426,17.17278,17.663185,16.52328
2051295209717971200,290.3207941970375,37.86614787697134,,,,,,,20.97833,21.61468,19.836826
2051286520994706432,290.1493716819053,37.707123658094446,0.48543476239593514,0.01983373724734884,0.4508427434644968,0.028228536529128864,-8.887876826397868,0.029383766483950954,13.256314,13.810988,12.563767
2051295141001109504,290.2947010534581,37.84690936149662,0.3278244718428978,0.2066656280729288,-0.6891533734508436,0.35443869757932744,-2.5413614162702194,0.4806902432034819,18.955738,19.494589,18.257298
2051291567585048704,290.05107382454133,37.82040315010237,1.7484937595547119,0.6579406173476279,-2.9422993882237582,0.9977366060473736,-4.584228249898191,1.140917636883891,20.37102,20.253935,18.733042
