source_id,ra,dec,parallax,parallax_error,pmra,pmra_error,pmdec,pmdec_error,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag
6.04911E+17,132.8222928,11.76755375,1.115595454,0.028694503,-11.14440886,0.048078365,-2.859264655,0.03388452,13.790198,14.097613,13.323069
5.73938E+17,12.28991639,85.22872926,0.55647336,0.171781231,-2.755076626,0.386490545,-0.668048712,0.235318804,18.613396,19.548626,17.658005
6.61294E+17,130.0982251,19.63665943,1.839694024,1.423037475,-2.148877687,2.327005297,-9.019784048,1.38773563,20.17322,20.263302,18.748512
2.05111E+18,290.2290405,37.74112642,0.056964018,0.081019728,-0.17782643,0.138760384,-2.277727647,0.173711188,17.392792,17.83935,16.768501
1.82161E+18,298.4409348,18.74673202,1.116460161,0.179199225,7.335760473,0.248278926,-13.34996115,0.242982605,18.278662,19.213,17.204657
